ExpositionPeriodId;ExpositionId;PeriodStart;PeriodEnd;RemainingTIckets
90ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-05 15:30:00.0000000;2020-07-05 16:30:00.0000000;4
212CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-06 10:30:00.0000000;2020-07-06 11:30:00.0000000;3
55D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-06 12:30:00.0000000;2020-07-06 13:30:00.0000000;4
3931C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-06 14:30:00.0000000;2020-07-06 15:30:00.0000000;4
93ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-06 15:30:00.0000000;2020-07-06 16:30:00.0000000;4
232CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-07 10:30:00.0000000;2020-07-07 11:30:00.0000000;4
57D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-07 12:30:00.0000000;2020-07-07 13:30:00.0000000;4
3B31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-07 14:30:00.0000000;2020-07-07 15:30:00.0000000;4
95ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-07 15:30:00.0000000;2020-07-07 16:30:00.0000000;4
252CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-08 10:30:00.0000000;2020-07-08 11:30:00.0000000;4
59D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-08 12:30:00.0000000;2020-07-08 13:30:00.0000000;4
3D31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-08 14:30:00.0000000;2020-07-08 15:30:00.0000000;4
97ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-08 15:30:00.0000000;2020-07-08 16:30:00.0000000;4
272CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-09 10:30:00.0000000;2020-07-09 11:30:00.0000000;4
5BD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-09 12:30:00.0000000;2020-07-09 13:30:00.0000000;4
3F31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-09 14:30:00.0000000;2020-07-09 15:30:00.0000000;3
9AECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-09 15:30:00.0000000;2020-07-09 16:30:00.0000000;4
292CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-10 10:30:00.0000000;2020-07-10 11:30:00.0000000;4
5DD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-10 12:30:00.0000000;2020-07-10 13:30:00.0000000;4
4131C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-10 14:30:00.0000000;2020-07-10 15:30:00.0000000;4
9CECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-10 15:30:00.0000000;2020-07-10 16:30:00.0000000;4
2B2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-11 10:30:00.0000000;2020-07-11 11:30:00.0000000;4
5FD1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-11 12:30:00.0000000;2020-07-11 13:30:00.0000000;4
4331C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-11 14:30:00.0000000;2020-07-11 15:30:00.0000000;4
9EECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-11 15:30:00.0000000;2020-07-11 16:30:00.0000000;4
2D2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-12 10:30:00.0000000;2020-07-12 11:30:00.0000000;4
61D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-12 12:30:00.0000000;2020-07-12 13:30:00.0000000;4
4531C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-12 14:30:00.0000000;2020-07-12 15:30:00.0000000;4
A0ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-12 15:30:00.0000000;2020-07-12 16:30:00.0000000;4
2F2CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-13 10:30:00.0000000;2020-07-13 11:30:00.0000000;4
63D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-13 12:30:00.0000000;2020-07-13 13:30:00.0000000;4
4731C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-13 14:30:00.0000000;2020-07-13 15:30:00.0000000;4
A3ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-13 15:30:00.0000000;2020-07-13 16:30:00.0000000;4
312CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-14 10:30:00.0000000;2020-07-14 11:30:00.0000000;4
65D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-14 12:30:00.0000000;2020-07-14 13:30:00.0000000;4
4931C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-14 14:30:00.0000000;2020-07-14 15:30:00.0000000;4
A6ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-14 15:30:00.0000000;2020-07-14 16:30:00.0000000;4
332CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-15 10:30:00.0000000;2020-07-15 11:30:00.0000000;4
67D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-15 12:30:00.0000000;2020-07-15 13:30:00.0000000;4
4B31C26B-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-15 14:30:00.0000000;2020-07-15 15:30:00.0000000;3
A8ECD78A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-15 15:30:00.0000000;2020-07-15 16:30:00.0000000;4
352CF33A-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-16 10:30:00.0000000;2020-07-16 11:30:00.0000000;4
69D1224D-6A25-E911-80C6-5820B1E20440;87115C7A-9305-E711-80CD-5820B1E20440;2020-07-16 12:30:00.0000000;2020-07-16 13:30:00.0000000;4
